NAME,LATITUDE,LONGITUDE,DESCRIPTION
Prague,50.075539,14.4378,
Roth,49.245586,11.090971,
Hassfurt,50.03187,10.506556,
Aschaffenburg,49.976929,9.147466,
Düsseldorf,51.22496,6.77567,
Marktheidenfeld ,49.84528,9.60672,
"Amsterdam, Netherlands ",52.370216,4.85168,
