NAME,LATITUDE,LONGITUDE
Amsterdam,52.370216,4.895168
Dusseldorf,51.227741,6.773456
Heidelberg,49.39875,8.672434
Hassfurt,50.03154,10.50674
Nuremberg,49.452103,11.076665
